question,context,claim,label
Who created the Python programming language?,"Python is an interpreted, high-level programming language conceived in the late 1980s by Guido van Rossum at CWI in the Netherlands as a successor to ABC. It was released in 1991.",Python was created by Guido van Rossum.,0
Who created the Python programming language?,"Python is an interpreted, high-level programming language conceived in the late 1980s by Guido van Rossum at CWI in the Netherlands as a successor to ABC. It was released in 1991.",Python was released in 1991.,0
Who created the Python programming language?,"Python is an interpreted, high-level programming language conceived in the late 1980s by Guido van Rossum at CWI in the Netherlands as a successor to ABC. It was released in 1991.",Python was created by Dennis Ritchie at Bell Labs.,1
Who created the Python programming language?,"Python is an interpreted, high-level programming language conceived in the late 1980s by Guido van Rossum at CWI in the Netherlands as a successor to ABC. It was released in 1991.",Python was originally released in 2005.,1
What is FastAPI?,"FastAPI is a modern, fast (high-performance), web framework for building APIs with Python 3.8+ based on standard Python type hints. It is built on Starlette and Pydantic.",FastAPI is built on Starlette and Pydantic.,0
What is FastAPI?,"FastAPI is a modern, fast (high-performance), web framework for building APIs with Python 3.8+ based on standard Python type hints. It is built on Starlette and Pydantic.",FastAPI is an asynchronous Rust microframework.,1
What is the speed of light?,"In physics, the speed of light in a vacuum is an exact constant denoted by c, equal to 299,792,458 metres per second.",The speed of light in a vacuum is 299792458 metres per second.,0
What is the speed of light?,"In physics, the speed of light in a vacuum is an exact constant denoted by c, equal to 299,792,458 metres per second.",The speed of light is roughly 150000 km per hour.,1
When was the Magna Carta signed?,"The Magna Carta was issued in June 1215 at Runnymede near Windsor by King John of England.",The Magna Carta was signed in 1215.,0
When was the Magna Carta signed?,"The Magna Carta was issued in June 1215 at Runnymede near Windsor by King John of England.",The Magna Carta was drafted in 1776 by Thomas Jefferson.,1
What is the capital of France?,"Paris is the capital and most populous city of France, situated along the Seine River.",Paris is the capital of France.,0
What is the capital of France?,"Paris is the capital and most populous city of France, situated along the Seine River.",Lyon is the official federal capital of France.,1
What is SQLite?,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine.",SQLite is an embedded SQL database engine.,0
What is SQLite?,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine.",SQLite requires a heavy distributed multi-node cluster to operate.,1
What is Transformer in machine learning?,"The Transformer model was introduced in the 2017 paper 'Attention Is All You Need' by Vaswani et al. from Google Research. It relies entirely on self-attention mechanisms.",The Transformer was introduced in Attention Is All You Need.,0
What is Transformer in machine learning?,"The Transformer model was introduced in the 2017 paper 'Attention Is All You Need' by Vaswani et al. from Google Research. It relies entirely on self-attention mechanisms.",The Transformer architecture was invented in 1982 for image processing.,1
Where is Mount Everest located?,"Mount Everest is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas on the China-Nepal border.",Mount Everest is located on the border between China and Nepal.,0
Where is Mount Everest located?,"Mount Everest is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas on the China-Nepal border.",Mount Everest is situated entirely in the Swiss Alps.,1
What is chlorophyll?,"Chlorophyll is the primary pigment used by plants and algae to absorb light energy during photosynthesis, giving plants their green color.",Chlorophyll gives plants their green appearance and absorbs light.,0
What is chlorophyll?,"Chlorophyll is the primary pigment used by plants and algae to absorb light energy during photosynthesis, giving plants their green color.",Chlorophyll is a mineral found exclusively in metallic ores.,1
Who painted the Mona Lisa?,"The Mona Lisa is a half-length portrait painting by Italian artist Leonardo da Vinci, considered an archetypal masterpiece of the Italian Renaissance.",The Mona Lisa was painted by Leonardo da Vinci.,0
Who painted the Mona Lisa?,"The Mona Lisa is a half-length portrait painting by Italian artist Leonardo da Vinci, considered an archetypal masterpiece of the Italian Renaissance.",Pablo Picasso painted the Mona Lisa in Madrid.,1
What is DNA?,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix carrying genetic instructions.",DNA forms a double helix structure.,0
What is DNA?,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix carrying genetic instructions.",DNA is an inorganic gas synthesized in the stratosphere.,1
